ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,shares_out,avg_d_shares
GS,GS&,GOLDMAN SACHS,12,Q,2013-12-31,Y,453.23,488.7
GS,GS&,GOLDMAN SACHS,12,Q,2013-09-30,Y,449.1,496.4
GS,GS&,GOLDMAN SACHS,12,Q,2013-06-30,Y,458.51,503.5
GS,GS&,GOLDMAN SACHS,12,Q,2013-03-31,Y,465.5,509.8
GS,GS&,GOLDMAN SACHS,12,Q,2012-12-31,Y,469.94,505.6
GS,GS&,GOLDMAN SACHS,12,Q,2012-09-30,Y,479.42,510.9
GS,GS&,GOLDMAN SACHS,12,Q,2012-06-30,Y,491.88,520.3
GS,GS&,GOLDMAN SACHS,12,Q,2012-03-31,Y,494.9,529.2
GS,GS&,GOLDMAN SACHS,12,Q,2011-12-31,Y,492.31,531.8
GS,GS&,GOLDMAN SACHS,12,Q,2011-09-30,Y,505.79,518.2
GS,GS&,GOLDMAN SACHS,12,Q,2011-06-30,Y,517.73,569.5
GS,GS&,GOLDMAN SACHS,12,Q,2011-03-31,Y,520.51,583.0
HD,HOMD,HOME DEPOT,1,Q,2017-10-31,Y,1178.82,
HD,HOMD,HOME DEPOT,1,Q,2017-07-31,Y,1178.82,1189.0
HD,HOMD,HOME DEPOT,1,Q,2017-04-30,Y,1195.56,1204.0
HD,HOMD,HOME DEPOT,1,Q,2017-01-31,Y,1218.16,1211.0
HD,HOMD,HOME DEPOT,1,Q,2016-10-31,Y,1218.16,1229.0
HD,HOMD,HOME DEPOT,1,Q,2016-07-31,Y,1235.57,1240.0
HD,HOMD,HOME DEPOT,1,Q,2016-04-30,Y,1244.01,1252.0
HD,HOMD,HOME DEPOT,1,Q,2016-01-31,Y,1267.88,1259.0
HD,HOMD,HOME DEPOT,1,Q,2015-10-31,Y,1267.88,1274.0
HD,HOMD,HOME DEPOT,1,Q,2015-07-31,Y,1284.1,1289.0
HD,HOMD,HOME DEPOT,1,Q,2015-04-30,Y,1298.98,1305.0
HD,HOMD,HOME DEPOT,1,Q,2015-01-31,Y,1317.83,1314.0
HD,HOMD,HOME DEPOT,1,Q,2014-10-31,Y,1317.83,1334.0
HD,HOMD,HOME DEPOT,1,Q,2014-07-31,Y,1367.62,1353.0
HD,HOMD,HOME DEPOT,1,Q,2014-04-30,Y,1368.1,1376.0
HD,HOMD,HOME DEPOT,1,Q,2014-01-31,Y,1408.23,1391.0
HD,HOMD,HOME DEPOT,1,Q,2013-10-31,Y,1432.44,1417.0
HD,HOMD,HOME DEPOT,1,Q,2013-07-31,Y,1460.8,1443.0
HD,HOMD,HOME DEPOT,1,Q,2013-04-30,Y,1482.17,1478.0
HD,HOMD,HOME DEPOT,1,Q,2013-01-31,Y,1495.18,1491.0
HD,HOMD,HOME DEPOT,1,Q,2012-10-31,Y,1507.44,1498.0
HD,HOMD,HOME DEPOT,1,Q,2012-07-31,Y,1530.66,1512.0
HD,HOMD,HOME DEPOT,1,Q,2012-04-30,Y,1524.89,1531.0
HD,HOMD,HOME DEPOT,1,Q,2012-01-31,Y,1541.57,1535.0
HD,HOMD,HOME DEPOT,1,Q,2011-10-31,Y,1564.29,1548.0
HD,HOMD,HOME DEPOT,1,Q,2011-07-31,Y,1592.24,1577.0
HD,HOMD,HOME DEPOT,1,Q,2011-04-30,Y,1598.07,1611.0
HD,HOMD,HOME DEPOT,1,Q,2011-01-31,Y,1638.82,1626.0
IBM,IBM,INTL BUS MACH,12,Q,2017-09-30,Y,931.94,933.2
IBM,IBM,INTL BUS MACH,12,Q,2017-06-30,Y,931.94,939.6
IBM,IBM,INTL BUS MACH,12,Q,2017-03-31,Y,939.5,947.8
IBM,IBM,INTL BUS MACH,12,Q,2016-12-31,Y,950.85,952.7
IBM,IBM,INTL BUS MACH,12,Q,2016-09-30,Y,950.85,957.3
IBM,IBM,INTL BUS MACH,12,Q,2016-06-30,Y,956.0,960.5
IBM,IBM,INTL BUS MACH,12,Q,2016-03-31,Y,959.96,964.4
IBM,IBM,INTL BUS MACH,12,Q,2015-12-31,Y,970.11,972.8
IBM,IBM,INTL BUS MACH,12,Q,2015-09-30,Y,970.11,979.0
IBM,IBM,INTL BUS MACH,12,Q,2015-06-30,Y,987.0,986.7
IBM,IBM,INTL BUS MACH,12,Q,2015-03-31,Y,985.0,992.3
IBM,IBM,INTL BUS MACH,12,Q,2014-12-31,Y,991.0,995.4
IBM,IBM,INTL BUS MACH,12,Q,2014-09-30,Y,989.66,997.7
IBM,IBM,INTL BUS MACH,12,Q,2014-06-30,Y,1012.18,1005.1
IBM,IBM,INTL BUS MACH,12,Q,2014-03-31,Y,1041.34,1041.8
IBM,IBM,INTL BUS MACH,12,Q,2013-12-31,Y,1085.85,1080.0
IBM,IBM,INTL BUS MACH,12,Q,2013-09-30,Y,1095.43,1098.8
IBM,IBM,INTL BUS MACH,12,Q,2013-06-30,Y,1108.79,1109.4
IBM,IBM,INTL BUS MACH,12,Q,2013-03-31,Y,1114.51,1124.0
IBM,IBM,INTL BUS MACH,12,Q,2012-12-31,Y,1129.93,1136.4
IBM,IBM,INTL BUS MACH,12,Q,2012-09-30,Y,1142.78,1149.3
IBM,IBM,INTL BUS MACH,12,Q,2012-06-30,Y,1153.48,1161.9
IBM,IBM,INTL BUS MACH,12,Q,2012-03-31,Y,1158.66,1174.2
IBM,IBM,INTL BUS MACH,12,Q,2011-12-31,Y,1178.62,1188.7
IBM,IBM,INTL BUS MACH,12,Q,2011-09-30,Y,1194.28,1204.9
IBM,IBM,INTL BUS MACH,12,Q,2011-06-30,Y,1211.2,1221.4
IBM,IBM,INTL BUS MACH,12,Q,2011-03-31,Y,1219.54,1240.0
